date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-01,Orlando Magic,Atlanta Hawks,2.34,1.73,Betfair
2026-04-01,Washington Wizards,Philadelphia 76ers,9.4,1.12,Betfair
2026-04-01,Miami Heat,Boston Celtics,2.76,1.58,Betfair
2026-04-02,Houston Rockets,Milwaukee Bucks,1.06,16.0,Betsson
2026-04-02,Memphis Grizzlies,New York Knicks,8.6,1.13,Matchbook
2026-04-02,Toronto Raptors,Sacramento Kings,1.16,7.0,1xBet
2026-04-02,Chicago Bulls,Indiana Pacers,1.62,2.62,Betfair
2026-04-02,Utah Jazz,Denver Nuggets,13.7,1.08,1xBet
2026-04-02,Golden State Warriors,San Antonio Spurs,8.0,1.13,Betfair
