date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-09,Washington Wizards,Chicago Bulls,3.3,1.44,Matchbook
2026-04-09,Toronto Raptors,Miami Heat,1.67,2.52,Matchbook
2026-04-09,New York Knicks,Boston Celtics,1.55,2.84,1xBet
2026-04-09,Brooklyn Nets,Indiana Pacers,2.45,1.68,Winamax (DE)
2026-04-10,Houston Rockets,Philadelphia 76ers,1.57,3.05,William Hill
2026-04-10,Golden State Warriors,Los Angeles Lakers,1.59,2.66,Matchbook
