date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-08,Cleveland Cavaliers,Atlanta Hawks,1.87,2.14,Betfair
2026-04-08,Detroit Pistons,Milwaukee Bucks,1.05,18.5,Betsson
2026-04-08,Orlando Magic,Minnesota Timberwolves,1.31,4.55,1xBet
2026-04-09,San Antonio Spurs,Portland Trail Blazers,1.68,2.5,1xBet
2026-04-09,Denver Nuggets,Memphis Grizzlies,1.02,34.0,BetOnline.ag
2026-04-09,Phoenix Suns,Dallas Mavericks,1.2,5.8,1xBet
2026-04-09,Los Angeles Clippers,Oklahoma City Thunder,3.25,1.43,Matchbook
