date,home_team,away_team,home_odds,away_odds,bookmaker
2026-03-29,Milwaukee Bucks,Los Angeles Clippers,9.0,1.14,Unibet (SE)
2026-03-29,Indiana Pacers,Miami Heat,4.5,1.28,Matchbook
2026-03-29,Charlotte Hornets,Boston Celtics,2.0,1.99,1xBet
2026-03-29,Brooklyn Nets,Sacramento Kings,2.04,1.96,Matchbook
2026-03-29,Toronto Raptors,Orlando Magic,1.81,2.24,Matchbook
2026-03-29,Portland Trail Blazers,Washington Wizards,1.09,11.0,Betsson
2026-03-29,New Orleans Pelicans,Houston Rockets,3.1,1.47,Matchbook
2026-03-29,Oklahoma City Thunder,New York Knicks,1.3,4.2,1xBet
2026-03-30,Denver Nuggets,Golden State Warriors,1.17,6.6,1xBet
