date,home_team,away_team,home_odds,away_odds,bookmaker
2026-03-27,Indiana Pacers,Los Angeles Clippers,4.3,1.31,Matchbook
2026-03-27,Boston Celtics,Atlanta Hawks,1.54,2.86,1xBet
2026-03-27,Cleveland Cavaliers,Miami Heat,1.51,2.91,Betfair
2026-03-28,Oklahoma City Thunder,Chicago Bulls,1.07,16.0,Nordic Bet
2026-03-28,Memphis Grizzlies,Houston Rockets,8.0,1.14,Matchbook
2026-03-28,Toronto Raptors,New Orleans Pelicans,1.3,4.2,Matchbook
2026-03-28,Denver Nuggets,Utah Jazz,1.06,16.5,1xBet
2026-03-28,Portland Trail Blazers,Dallas Mavericks,1.24,5.0,1xBet
2026-03-28,Golden State Warriors,Washington Wizards,1.12,8.4,Nordic Bet
2026-03-28,Los Angeles Lakers,Brooklyn Nets,1.08,12.0,1xBet
