date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-03,Charlotte Hornets,Indiana Pacers,1.09,11.0,1xBet
2026-04-03,Philadelphia 76ers,Minnesota Timberwolves,1.65,2.75,Betfair
2026-04-03,Brooklyn Nets,Atlanta Hawks,12.5,1.08,1xBet
2026-04-03,New York Knicks,Chicago Bulls,1.12,9.2,1xBet
2026-04-04,Milwaukee Bucks,Boston Celtics,13.0,1.07,Betfair
2026-04-04,Houston Rockets,Utah Jazz,1.07,13.5,Betsson
2026-04-04,Memphis Grizzlies,Toronto Raptors,8.6,1.12,Matchbook
2026-04-04,Dallas Mavericks,Orlando Magic,3.3,1.43,Betfair
2026-04-04,Sacramento Kings,New Orleans Pelicans,2.94,1.51,Betfair
