date,home_team,away_team,home_odds,away_odds,bookmaker
2026-03-31,Orlando Magic,Phoenix Suns,1.87,2.24,Matchbook
2026-03-31,Brooklyn Nets,Charlotte Hornets,12.0,1.1,Betfair
2026-04-01,Milwaukee Bucks,Dallas Mavericks,2.04,1.95,Betfair
2026-04-01,Detroit Pistons,Toronto Raptors,1.76,2.35,Winamax (DE)
2026-04-01,Houston Rockets,New York Knicks,1.98,1.99,Matchbook
2026-04-01,Los Angeles Lakers,Cleveland Cavaliers,1.85,2.2,1xBet
2026-04-01,Los Angeles Clippers,Portland Trail Blazers,1.48,3.1,Betsson
