date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-10,Atlanta Hawks,Cleveland Cavaliers,1.35,3.9,1xBet
2026-04-10,Charlotte Hornets,Detroit Pistons,1.54,2.8,Matchbook
2026-04-10,Washington Wizards,Miami Heat,14.5,1.07,Matchbook
2026-04-10,Boston Celtics,New Orleans Pelicans,1.08,14.0,Betsson
2026-04-10,Indiana Pacers,Philadelphia 76ers,10.0,1.1,Betfair
2026-04-10,New York Knicks,Toronto Raptors,1.46,3.1,1xBet
2026-04-11,Milwaukee Bucks,Brooklyn Nets,1.24,5.1,Marathon Bet
2026-04-11,Chicago Bulls,Orlando Magic,9.65,1.11,1xBet
2026-04-11,San Antonio Spurs,Dallas Mavericks,1.08,13.4,Betfair
2026-04-11,Denver Nuggets,Oklahoma City Thunder,1.19,6.0,Betfair
2026-04-11,Houston Rockets,Minnesota Timberwolves,1.23,5.1,Matchbook
2026-04-11,Utah Jazz,Memphis Grizzlies,1.65,2.52,Matchbook
2026-04-11,Sacramento Kings,Golden State Warriors,5.0,1.24,Tipico
2026-04-11,Portland Trail Blazers,Los Angeles Clippers,1.87,2.12,Betfair
2026-04-11,Los Angeles Lakers,Phoenix Suns,2.3,1.76,1xBet
