date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-14,Charlotte Hornets,Miami Heat,1.48,3.05,Unibet (SE)
2026-04-15,Phoenix Suns,Portland Trail Blazers,1.67,2.45,Betfair
2026-04-15,Philadelphia 76ers,Orlando Magic,1.84,2.2,Matchbook
2026-04-16,Los Angeles Clippers,Golden State Warriors,1.53,2.87,1xBet
2026-04-18,Cleveland Cavaliers,Toronto Raptors,1.35,3.72,Winamax (DE)
2026-04-18,Denver Nuggets,Minnesota Timberwolves,1.45,3.25,1xBet
2026-04-18,New York Knicks,Atlanta Hawks,1.52,2.82,1xBet
2026-04-19,Los Angeles Lakers,Houston Rockets,2.92,1.53,BetOnline.ag
