date,home_team,away_team,home_odds,away_odds,bookmaker
2026-03-30,Miami Heat,Philadelphia 76ers,2.33,1.8,1xBet
2026-03-30,Atlanta Hawks,Boston Celtics,1.82,2.2,Matchbook
2026-03-31,San Antonio Spurs,Chicago Bulls,1.07,16.5,Betsson
2026-03-31,Memphis Grizzlies,Phoenix Suns,6.8,1.16,Matchbook
2026-03-31,Dallas Mavericks,Minnesota Timberwolves,3.45,1.4,Matchbook
2026-03-31,Utah Jazz,Cleveland Cavaliers,13.7,1.08,1xBet
2026-03-31,Oklahoma City Thunder,Detroit Pistons,1.18,6.75,Marathon Bet
2026-03-31,Los Angeles Lakers,Washington Wizards,1.08,12.0,Betsson
