date,home_team,away_team,home_odds,away_odds,bookmaker
2026-04-14,Charlotte Hornets,Miami Heat,1.47,3.05,Betfair
2026-04-15,Phoenix Suns,Portland Trail Blazers,1.65,2.44,1xBet
2026-04-15,Philadelphia 76ers,Orlando Magic,1.85,2.12,Betfair
2026-04-16,Los Angeles Clippers,Golden State Warriors,1.52,2.86,Matchbook
2026-04-18,Cleveland Cavaliers,Toronto Raptors,1.38,3.75,1xBet
2026-04-18,Denver Nuggets,Minnesota Timberwolves,1.45,3.0,1xBet
2026-04-18,New York Knicks,Atlanta Hawks,1.52,2.8,1xBet
2026-04-19,Los Angeles Lakers,Houston Rockets,3.15,1.53,Betfair
