date,home_team,away_team,home_odds,away_odds,bookmaker
2026-03-26,Charlotte Hornets,New York Knicks,1.87,2.14,Matchbook
2026-03-26,Detroit Pistons,New Orleans Pelicans,1.6,2.65,Winamax (DE)
2026-03-26,Orlando Magic,Sacramento Kings,1.1,10.5,1xBet
2026-03-27,Boston Celtics,Atlanta Hawks,1.36,3.6,1xBet
2026-03-27,Cleveland Cavaliers,Miami Heat,1.59,2.66,1xBet
2026-03-28,Oklahoma City Thunder,Chicago Bulls,1.07,15.5,Nordic Bet
