PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
Keyonte George,UTA,33.1,23.6,3.7,6.1,54,45.64,7.02
Khaman Maluach,PHX,8.5,2.7,2.6,0.1,44,7.4799999999999995,1.15
Khris Middleton,DAL,23.1,10.1,3.7,2.8,61,24.189999999999998,3.72
Killian Hayes,SAC,17.2,5.3,2.4,3.6,21,17.779999999999998,2.74
Klay Thompson,DAL,21.9,11.7,2.1,1.4,68,22.049999999999997,3.39
Kobe Brown,IND,15.3,5.5,3.0,1.3,59,14.440000000000001,2.22
Kobe Sanders,LAC,20.0,7.3,2.3,1.6,66,17.54,2.7
Kon Knueppel,CHA,31.5,18.7,5.3,3.4,79,37.489999999999995,5.77
Kris Dunn,LAC,27.3,7.3,3.3,3.6,80,23.53,3.62
Kris Murray,POR,23.3,5.7,3.5,1.4,55,17.59,2.71
Kristaps Porziņģis,GSW,24.0,17.0,5.1,2.6,30,32.17999999999999,4.95
Kyle Anderson,MIN,19.5,5.9,3.4,2.8,42,18.67,2.87
Kyle Filipowski,UTA,23.4,11.4,7.2,2.6,77,28.080000000000002,4.32
Kyle Kuzma,MIL,26.2,13.1,4.6,2.6,68,28.54,4.39
Kyshawn George,WAS,29.0,14.8,5.1,4.5,48,34.33,5.28
LaMelo Ball,CHA,27.9,20.0,4.8,7.1,70,42.85999999999999,6.59
Lachlan Olbrich,CHI,8.1,2.1,2.5,0.8,35,7.73,1.19
Landry Shamet,NYK,22.9,9.3,1.8,1.4,50,19.71,3.03
Larry Nance Jr.,CLE,12.5,3.5,2.6,0.9,33,10.68,1.64
Lauri Markkanen,UTA,34.3,26.7,6.9,2.1,42,45.660000000000004,7.02
LeBron James,LAL,33.5,20.9,6.1,7.1,58,46.48,7.15
Leonard Miller,CHI,14.7,7.5,3.8,0.8,44,16.15,2.48
Liam McNeeley,CHA,12.1,4.4,2.4,0.8,30,11.15,1.72
Lindy Waters III,SAS,7.1,2.4,0.7,0.5,40,5.84,0.9
Lonzo Ball,CLE,20.8,4.6,4.0,3.9,35,19.89,3.06
Luguentz Dort,OKC,27.0,8.4,3.6,1.2,67,21.18,3.26
Luka Dončić,LAL,35.8,33.5,7.7,8.3,64,62.849999999999994,9.67
Luka Garza,BOS,15.9,7.7,3.9,0.9,67,16.94,2.61
Luke Kennard,LAL,21.6,8.3,2.4,2.2,76,20.0,3.08
Luke Kornet,SAS,21.1,6.6,6.1,1.9,67,20.659999999999997,3.18
Malaki Branham,WAS,9.8,4.6,1.6,0.8,28,10.02,1.54
Malevy Leons,GSW,10.8,3.0,2.1,0.9,23,9.27,1.43
Malik Monk,SAC,22.2,12.5,1.9,3.0,61,25.18,3.87
Marcus Sasser,DET,12.4,5.4,1.1,2.1,36,13.150000000000002,2.02
Marcus Smart,LAL,28.7,9.5,2.8,2.8,60,24.549999999999997,3.78
Mark Williams,PHX,23.7,11.7,8.0,1.0,59,26.71,4.11
Marvin Bagley III,DAL,20.2,10.6,6.2,1.4,59,23.72,3.65
Matas Buzelis,CHI,29.2,16.3,5.8,2.0,76,32.7,5.03
Matisse Thybulle,POR,16.2,5.8,2.0,0.9,28,13.61,2.09
Max Christie,DAL,29.3,12.2,3.3,2.0,75,26.63,4.1
Maxi Kleber,LAL,10.6,2.0,1.9,0.7,41,7.75,1.19
Maxime Raynaud,SAC,26.2,12.2,7.5,1.3,72,28.009999999999998,4.31
Micah Peavy,NOP,14.2,4.1,1.9,1.0,59,11.379999999999999,1.75
Micah Potter,IND,18.9,9.6,4.7,1.5,45,21.279999999999998,3.27
Michael Porter Jr.,BKN,32.5,24.2,7.1,3.0,52,44.129999999999995,6.79
Mikal Bridges,NYK,33.2,14.6,3.9,3.8,80,33.379999999999995,5.14
Mike Conley,MIN,18.2,4.5,1.7,2.9,53,15.669999999999998,2.41
Miles Bridges,CHA,31.2,17.3,5.9,3.2,75,36.18,5.57
Miles McBride,NYK,26.4,11.8,2.4,2.6,40,25.54,3.93
Mitchell Robinson,NYK,19.6,5.7,8.8,0.9,60,19.970000000000002,3.07
Mohamed Diawara,NYK,8.8,3.6,1.3,0.7,67,8.33,1.28
Moritz Wagner,ORL,11.8,6.9,3.2,0.8,36,14.200000000000003,2.18
Moses Moody,GSW,25.7,12.1,3.3,1.6,60,24.85,3.82
Mouhamed Gueye,ATL,15.4,4.4,3.6,0.9,76,13.25,2.04
Moussa Cisse,DAL,13.0,4.1,5.2,0.2,36,12.459999999999999,1.92
Moussa Diabaté,CHA,26.0,7.9,8.7,1.9,71,25.51,3.92
Myles Turner,MIL,26.9,11.9,5.3,1.4,70,26.310000000000002,4.05
Myron Gardner,MIA,9.3,3.7,2.8,1.0,43,10.23,1.57
Nae'Qwan Tomlin,CLE,15.3,5.5,2.8,0.8,62,13.53,2.08
Naji Marshall,DAL,29.5,15.2,4.7,3.3,74,32.76,5.04
Naz Reid,MIN,26.1,13.6,6.2,2.2,77,29.689999999999998,4.57
Neemias Queta,BOS,25.5,10.3,8.3,1.7,75,27.14,4.18
Nic Claxton,BKN,27.8,11.7,6.9,3.7,69,31.11,4.79
Nick Richards,CHI,14.6,5.8,5.1,0.3,48,14.71,2.26
Nick Smith Jr.,LAL,12.3,6.0,0.8,1.1,28,11.98,1.84
Nickeil Alexander-Walker,ATL,33.4,20.9,3.5,3.7,77,39.269999999999996,6.04
Nicolas Batum,LAC,17.6,3.9,2.5,0.9,72,12.530000000000001,1.93
