PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS,REB,AST,GP,Impact,Impact_Final
Cam Whitmore,WAS,16.9,9.2,2.8,0.7,21,17.56,2.7
Cameron Johnson,DEN,30.5,12.2,3.8,2.4,54,27.990000000000002,4.31
Cameron Payne,PHI,17.0,7.4,2.0,2.6,22,18.0,2.77
Caris LeVert,DET,19.4,7.4,2.0,2.7,58,18.87,2.9
Carter Bryant,SAS,11.0,4.0,2.4,0.6,69,10.120000000000001,1.56
Cason Wallace,OKC,26.6,8.6,3.1,2.6,77,22.96,3.53
Cedric Coward,MEM,25.8,13.6,5.9,2.8,62,30.259999999999998,4.66
Chaz Lanier,DET,7.9,2.4,0.7,0.5,32,6.08,0.94
Chet Holmgren,OKC,28.9,17.1,8.9,1.7,69,35.440000000000005,5.45
Chris Youngblood,POR,5.6,2.2,0.8,0.4,33,5.12,0.79
Christian Braun,DEN,31.8,12.0,4.8,2.7,44,29.43,4.53
Christian Koloko,ATL,12.9,2.7,2.8,0.7,26,9.86,1.52
Clint Capela,HOU,12.2,3.5,4.5,0.7,73,11.81,1.82
Coby White,CHA,25.4,17.5,3.5,4.1,48,34.07,5.24
Cody Williams,UTA,24.0,8.6,3.0,1.9,65,21.049999999999997,3.24
Cole Anthony,MIL,15.0,6.7,2.5,3.5,35,18.45,2.84
Collin Gillespie,PHX,28.7,12.7,4.1,4.7,79,31.64,4.87
Collin Murray-Boyles,TOR,22.0,8.6,5.1,1.9,56,22.13,3.4
Collin Sexton,CHI,23.6,15.4,2.3,3.3,66,29.270000000000003,4.5
Cooper Flagg,DAL,33.8,21.0,6.7,4.6,68,43.4,6.68
Corey Kispert,ATL,18.6,9.0,2.3,1.6,56,18.82,2.9
Craig Porter Jr.,CLE,17.8,4.5,3.4,3.2,62,17.36,2.67
D'Angelo Russell,WAS,19.0,10.2,2.3,4.0,26,23.74,3.65
DaRon Holmes II,DEN,8.8,4.0,1.5,0.7,23,8.89,1.37
Daeqwon Plowden,SAC,26.2,10.5,2.9,1.2,30,22.48,3.46
Dalen Terry,PHI,11.6,3.7,1.8,1.4,47,10.72,1.65
Dalton Knecht,LAL,10.3,4.0,1.4,0.3,52,8.66,1.33
Daniel Gafford,DAL,21.7,9.5,6.9,1.1,55,23.18,3.57
Daniss Jenkins,DET,20.3,9.5,2.3,3.9,70,23.279999999999998,3.58
Danny Wolf,BKN,20.8,8.9,4.9,2.2,57,22.36,3.44
Darius Garland,LAC,29.7,18.9,2.3,6.7,43,39.7,6.11
Davion Mitchell,MIA,28.6,9.3,2.7,6.6,69,29.939999999999998,4.61
Day'Ron Sharpe,BKN,18.7,8.7,6.7,2.3,62,23.119999999999997,3.56
De'Aaron Fox,SAS,31.0,18.5,3.8,6.1,70,39.989999999999995,6.15
De'Andre Hunter,SAC,26.1,13.7,4.1,2.0,45,27.810000000000002,4.28
De'Anthony Melton,GSW,22.9,12.4,3.2,2.6,47,25.729999999999997,3.96
DeMar DeRozan,SAC,31.2,18.4,2.9,4.1,77,36.23,5.57
Dean Wade,CLE,22.4,5.8,4.2,1.5,58,18.13,2.79
Deandre Ayton,LAL,27.2,12.4,8.0,0.8,70,28.16,4.33
Deni Avdija,POR,33.3,24.0,6.9,6.7,64,49.56,7.62
Dennis Schröder,CLE,24.4,10.9,2.7,4.9,69,27.73,4.27
Derik Queen,NOP,24.6,11.3,6.8,3.7,79,29.67,4.56
Derrick Jones Jr.,LAC,27.2,10.3,3.5,1.4,48,23.36,3.59
Derrick White,BOS,34.3,16.6,4.4,5.4,76,38.510000000000005,5.92
Desmond Bane,ORL,34.0,20.5,4.2,4.2,80,40.36,6.21
Devin Booker,PHX,33.5,26.1,3.9,6.0,64,48.269999999999996,7.43
Devin Carter,SAC,17.5,8.4,3.1,2.5,36,19.880000000000003,3.06
Devin Vassell,SAS,30.5,14.0,4.0,2.5,65,30.1,4.63
Dillon Brooks,PHX,30.6,20.3,3.7,1.8,55,35.14,5.41
Dominick Barlow,PHI,23.9,7.8,4.8,1.2,69,20.61,3.17
Donovan Clingan,POR,27.2,12.0,11.6,2.1,75,32.59,5.01
Donovan Mitchell,CLE,33.5,27.9,4.5,5.7,70,50.1,7.71
Donte DiVincenzo,MIN,30.7,12.2,4.1,3.9,80,30.54,4.7
Dorian Finney-Smith,HOU,16.6,3.2,2.5,1.0,36,11.68,1.8
Doug McDermott,SAC,14.8,5.7,1.2,0.8,27,12.3,1.89
Drake Powell,BKN,20.9,6.5,1.8,1.5,62,16.46,2.53
Draymond Green,GSW,27.5,8.4,5.5,5.5,67,29.299999999999997,4.51
Drew Eubanks,SAC,13.1,5.2,3.0,0.5,42,12.280000000000001,1.89
Drew Timme,LAL,8.9,3.5,1.3,0.8,25,8.41,1.29
Dru Smith,MIA,16.3,5.6,2.5,2.6,70,16.39,2.52
Duncan Robinson,DET,27.5,12.1,2.7,2.1,75,25.66,3.95
Duop Reath,POR,8.1,2.9,1.2,0.3,32,6.739999999999999,1.04
Dwight Powell,DAL,14.0,3.3,3.8,1.0,61,12.04,1.85
Dylan Cardwell,SAC,20.5,5.4,7.5,1.5,42,19.8,3.05
Dylan Harper,SAS,22.6,11.8,3.4,3.9,67,27.15,4.18
Dyson Daniels,ATL,33.2,11.8,6.8,5.8,75,35.900000000000006,5.52
E.J. Liddell,BKN,12.1,4.9,2.5,0.8,24,11.73,1.8
Egor Dëmin,BKN,25.2,10.3,3.2,3.3,52,25.37,3.9
Elijah Harkless,UTA,21.0,6.8,2.0,2.9,26,19.049999999999997,2.93
Ethan Thompson,IND,19.5,6.3,2.1,1.6,30,16.229999999999997,2.5
Evan Mobley,CLE,32.1,18.3,9.1,3.6,64,40.61000000000001,6.25
Franz Wagner,ORL,30.3,20.4,5.3,3.4,32,38.83,5.97
GG Jackson,MEM,21.4,12.5,4.3,1.5,55,24.61,3.79
Gabe Vincent,ATL,16.6,4.4,1.0,1.5,52,12.43,1.91
Garrett Temple,TOR,3.3,0.7,0.4,0.4,21,2.61,0.4
Gary Harris,MIL,13.8,2.7,1.3,1.1,48,9.530000000000001,1.47
Gary Payton II,GSW,15.7,7.5,3.7,1.7,71,17.720000000000002,2.73
Gary Trent Jr.,MIL,21.2,8.1,1.0,1.2,65,17.06,2.62
Giannis Antetokounmpo,MIL,28.9,27.6,9.8,5.4,36,52.21000000000001,8.03
Goga Bitadze,ORL,15.1,5.7,4.9,1.3,62,16.1,2.48
Gradey Dick,TOR,14.2,6.0,2.0,0.7,74,12.91,1.99
Grant Williams,CHA,19.7,7.1,3.9,1.6,34,18.53,2.85
Grayson Allen,PHX,29.1,16.7,3.0,3.9,50,33.67999999999999,5.18
Guerschon Yabusele,CHI,15.0,5.6,3.5,0.9,67,14.25,2.19
Gui Santos,GSW,20.5,9.3,3.9,2.3,66,22.02,3.39
Harrison Barnes,SAS,25.8,9.8,2.8,1.9,75,22.630000000000003,3.48
Herbert Jones,NOP,28.4,8.9,3.4,2.8,56,24.34,3.74
Hugo González,BOS,14.5,3.8,3.3,0.5,73,11.54,1.78
Hunter Tyson,DEN,7.7,2.2,1.7,0.8,21,7.07,1.09
Immanuel Quickley,TOR,32.1,16.6,4.1,5.9,69,38.36000000000001,5.9
Isaac Okoro,CHI,26.9,9.3,2.7,1.6,63,21.93,3.37
Isaiah Collier,UTA,25.7,11.7,2.5,7.2,59,32.21,4.96
Isaiah Hartenstein,OKC,24.2,9.2,9.4,3.5,47,29.229999999999997,4.5
Isaiah Jackson,LAC,16.5,6.7,5.3,0.9,55,17.240000000000002,2.65
Isaiah Joe,OKC,21.2,11.1,2.5,1.3,71,21.41,3.29
Isaiah Livers,PHX,9.6,1.8,1.7,0.6,36,6.94,1.07
Isaiah Stewart,DET,22.9,10.0,5.0,1.2,56,22.67,3.49
Ivica Zubac,IND,30.1,14.1,10.6,2.2,48,34.91,5.37
JD Davison,HOU,7.1,2.2,0.9,1.0,27,6.55,1.01
Ja Morant,MEM,28.4,19.5,3.3,8.1,20,42.81,6.59
Ja'Kobe Walter,TOR,20.3,7.4,2.6,1.2,70,17.369999999999997,2.67
Jabari Smith Jr.,HOU,35.1,15.8,6.9,1.9,76,34.699999999999996,5.34
Jabari Walker,PHI,12.0,4.3,3.0,0.5,63,11.05,1.7
Jaden Hardy,WAS,15.7,9.2,1.5,1.0,56,16.61,2.56
Jaden Ivey,CHI,18.1,8.5,2.5,1.8,37,18.63,2.87
Jaden McDaniels,MIN,31.7,14.8,4.2,2.7,72,31.72,4.88
Jae'Sean Tate,HOU,8.4,2.6,1.4,0.5,44,6.99,1.08
Jahmai Mashack,MEM,20.2,5.8,2.2,1.5,29,15.870000000000001,2.44
Jaime Jaquez Jr.,MIA,28.2,15.1,5.1,4.6,73,34.54,5.31
Jake LaRavia,LAL,25.1,8.4,4.0,1.8,80,21.830000000000002,3.36
Jakob Poeltl,TOR,25.2,10.9,7.2,2.0,44,27.22,4.19
Jalen Brunson,NYK,35.0,26.0,3.3,6.9,73,49.49,7.61
Jalen Duren,DET,28.3,19.5,10.6,1.9,69,39.32,6.05
Jalen Green,PHX,25.9,17.8,3.6,2.8,32,32.65,5.02
Jalen Johnson,ATL,35.3,22.6,10.3,7.9,71,53.28,8.2
Jalen Pickett,DEN,15.6,4.9,2.2,2.2,48,14.64,2.25
Jalen Smith,CHI,20.7,10.2,6.7,1.2,53,23.57,3.63
Jalen Suggs,ORL,27.6,13.7,3.9,5.5,55,33.35,5.13
Jalen Williams,OKC,28.4,17.1,4.6,5.5,33,37.55,5.78
Jalen Wilson,BKN,15.4,6.2,1.9,0.8,52,13.54,2.08
Jamal Cain,ORL,11.7,5.1,1.8,0.7,38,11.1,1.71
Jamal Murray,DEN,35.4,25.4,4.4,7.1,75,50.19,7.72
Jamal Shead,TOR,22.6,6.7,1.8,5.5,80,23.17,3.56
Jamaree Bouyea,PHX,13.1,5.3,1.7,1.6,44,12.99,2.0
James Harden,CLE,35.0,23.7,4.9,8.0,69,50.120000000000005,7.71
Jamir Watkins,WAS,20.1,7.0,3.9,1.3,48,18.1,2.78
Jamison Battle,TOR,8.6,3.2,1.5,0.4,59,7.58,1.17
